file,class,rfc
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/time/TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,40
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYShapeRenderer.java,org.jfree.chart.renderer.xy.XYShapeRenderer,51
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/StandardPieSectionLabelGenerator.java,org.jfree.chart.labels.StandardPieSectionLabelGenerator,15
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/VectorRenderer.java,org.jfree.chart.renderer.xy.VectorRenderer,31
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/CategoryTick.java,org.jfree.chart.axis.CategoryTick,4
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/ValueMarker.java,org.jfree.chart.plot.ValueMarker,2
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/DeviationRenderer.java,org.jfree.chart.renderer.xy.DeviationRenderer$State,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/encoders/SunJPEGEncoderAdapter.java,org.jfree.chart.encoders.SunJPEGEncoderAdapter,14
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/BubbleXYItemLabelGenerator.java,org.jfree.chart.labels.BubbleXYItemLabelGenerator,20
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/resources/DataPackageResources.java,org.jfree.data.resources.DataPackageResources,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/editor/DefaultLogAxisEditor.java,org.jfree.chart.swing.editor.DefaultLogAxisEditor,23
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/time/Minute.java,org.jfree.data.time.Minute,30
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYAreaRenderer.java,org.jfree.chart.renderer.xy.XYAreaRenderer,77
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/general/ValueDataset.java,org.jfree.data.general.ValueDataset,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java,org.jfree.chart.axis.NumberTickUnitSource,15
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/compass/MeterNeedle.java,org.jfree.chart.plot.compass.MeterNeedle,27
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/dial/StandardDialRange.java,org.jfree.chart.plot.dial.StandardDialRange,17
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/editor/ChartEditorFactory.java,org.jfree.chart.swing.editor.ChartEditorFactory,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/urls/CustomPieURLGenerator.java,org.jfree.chart.urls.CustomPieURLGenerator,18
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/general/AbstractSeriesDataset.java,org.jfree.data.general.AbstractSeriesDataset,4
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/annotations/XYShapeAnnotation.java,org.jfree.chart.annotations.XYShapeAnnotation,35
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/DefaultTableXYDataset.java,org.jfree.data.xy.DefaultTableXYDataset,58
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/dial/DialPointer.java,org.jfree.chart.plot.dial.DialPointer$Pointer,29
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/RangeInfo.java,org.jfree.data.RangeInfo,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer.java,org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,75
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/text/TextFragment.java,org.jfree.chart.text.TextFragment,26
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/StandardCrosshairLabelGenerator.java,org.jfree.chart.labels.StandardCrosshairLabelGenerator,8
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/pie/PiePlotState.java,org.jfree.chart.plot.pie.PiePlotState,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/BarPainter.java,org.jfree.chart.renderer.category.BarPainter,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/AxisCollection.java,org.jfree.chart.axis.AxisCollection,2
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/compass/PinNeedle.java,org.jfree.chart.plot.compass.PinNeedle,17
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/util/AttrStringUtils.java,org.jfree.chart.util.AttrStringUtils,27
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/ItemLabelPosition.java,org.jfree.chart.labels.ItemLabelPosition,5
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/general/DatasetUtils.java,org.jfree.data.general.DatasetUtils,88
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/GroupedStackedBarRenderer.java,org.jfree.chart.renderer.category.GroupedStackedBarRenderer,47
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/dial/StandardDialScale.java,org.jfree.chart.plot.dial.StandardDialScale,27
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/StandardChartTheme.java,org.jfree.chart.StandardChartTheme,152
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/pie/PieLabelDistributor.java,org.jfree.chart.plot.pie.PieLabelDistributor,18
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/statistics/HistogramType.java,org.jfree.data.statistics.HistogramType,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/compass/CompassPlot.java,org.jfree.chart.plot.compass.CompassPlot,60
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/DefaultXYDataset.java,org.jfree.data.xy.DefaultXYDataset,24
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/ItemLabelAnchor.java,org.jfree.chart.labels.ItemLabelAnchor,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/title/ShortTextTitle.java,org.jfree.chart.title.ShortTextTitle,34
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/StandardXYToolTipGenerator.java,org.jfree.chart.labels.StandardXYToolTipGenerator,6
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/legend/LegendItem.java,org.jfree.chart.legend.LegendItem,27
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/BoxAndWhiskerToolTipGenerator.java,org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,12
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/editor/DefaultPolarPlotEditor.java,org.jfree.chart.swing.editor.DefaultPolarPlotEditor,26
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/json/impl/JSONArray.java,org.jfree.data.json.impl.JSONArray,13
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/Timeline.java,org.jfree.chart.axis.Timeline,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/XYZToolTipGenerator.java,org.jfree.chart.labels.XYZToolTipGenerator,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/json/impl/JSONAware.java,org.jfree.data.json.impl.JSONAware,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/time/TimeSeriesCollection.java,org.jfree.data.time.TimeSeriesCollection,52
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/text/AttributedStringUtils.java,org.jfree.chart.text.AttributedStringUtils,6
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/DateTick.java,org.jfree.chart.axis.DateTick,5
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/DefaultHighLowDataset.java,org.jfree.data.xy.DefaultHighLowDataset,11
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/entity/XYAnnotationEntity.java,org.jfree.chart.entity.XYAnnotationEntity,1
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/time/TimePeriodFormatException.java,org.jfree.data.time.TimePeriodFormatException,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,org.jfree.chart.plot.dial.DialPlot,62
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/legend/LegendItemSource.java,org.jfree.chart.legend.LegendItemSource,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/MouseWheelHandler.java,org.jfree.chart.swing.MouseWheelHandler,18
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYDifferenceRenderer.java,org.jfree.chart.renderer.xy.XYDifferenceRenderer,83
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/text/TextBlock.java,org.jfree.chart.text.TextBlock,17
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/Axis.java,org.jfree.chart.axis.Axis,84
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer.java,org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,56
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/CrosshairOverlay.java,org.jfree.chart.swing.CrosshairOverlay,74
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/block/Size2D.java,org.jfree.chart.block.Size2D,2
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/block/BlockBorder.java,org.jfree.chart.block.BlockBorder,18
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java,org.jfree.chart.annotations.XYImageAnnotation,24
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/UIUtils.java,org.jfree.chart.swing.UIUtils,23
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/annotations/XYAnnotation.java,org.jfree.chart.annotations.XYAnnotation,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/DefaultWindDataset.java,org.jfree.data.xy.WindDataItem,2
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/CyclicXYItemRenderer.java,org.jfree.chart.renderer.xy.CyclicXYItemRenderer,8
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/imagemap/ImageMapUtils.java,org.jfree.chart.imagemap.ImageMapUtils,17
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYBarRenderer.java,org.jfree.chart.renderer.xy.XYBarRenderer$XYBarRendererState,0
