file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/time/TimeTableXYDataset.java,org.jfree.data.time.TimeTableXYDataset,class,12,13,1,12,52,4,0,40,250,0.75757575,0.0,0.0,33,0,32,1,0,0,32,0,0,0,4,0,0,4,0,0,0,0,7,188,31,0,8,0,3,3,12,33,12,21,1,0,0,0,229,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYShapeRenderer.java,org.jfree.chart.renderer.xy.XYShapeRenderer,class,18,19,1,18,54,3,0,51,156,0.80500007,0.0,0.0,25,0,22,2,1,0,23,0,0,0,8,1,0,8,0,0,1,0,2,224,29,0,17,0,3,3,12,40,4,25,4,0,0,0,257,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/StandardPieSectionLabelGenerator.java,org.jfree.chart.labels.StandardPieSectionLabelGenerator,class,5,8,3,5,15,2,0,15,34,0.77777773,0.0,0.0,12,0,12,0,0,0,12,0,0,0,3,2,1,2,0,0,2,0,7,57,9,0,1,0,1,1,2,8,2,6,1,0,0,0,151,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/VectorRenderer.java,org.jfree.chart.renderer.xy.VectorRenderer,class,15,16,1,15,30,3,0,31,13,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,11,176,10,8,7,0,9,2,25,74,29,54,4,0,0,0,161,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/CategoryTick.java,org.jfree.chart.axis.CategoryTick,class,5,7,2,5,12,2,0,4,0,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,3,46,10,0,1,0,0,1,4,8,6,5,2,0,0,0,39,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/ValueMarker.java,org.jfree.chart.plot.ValueMarker,class,3,5,2,3,10,2,0,2,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,37,6,0,2,0,1,0,1,4,0,2,1,0,0,0,66,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/DeviationRenderer.java,org.jfree.chart.renderer.xy.DeviationRenderer$State,innerclass,2,2,0,2,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,2,0,0,0,0,39,9,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/encoders/SunJPEGEncoderAdapter.java,org.jfree.chart.encoders.SunJPEGEncoderAdapter,class,4,5,1,4,9,1,0,14,15,0.5714286,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,4,39,3,0,0,0,0,4,3,7,0,6,1,0,0,0,109,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/BubbleXYItemLabelGenerator.java,org.jfree.chart.labels.BubbleXYItemLabelGenerator,class,8,9,1,8,19,2,0,20,7,0.70000005,0.0,0.0,10,0,9,0,1,0,10,0,0,0,4,2,1,2,0,1,2,0,10,93,12,0,4,0,1,3,9,24,0,14,1,0,0,0,116,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/resources/DataPackageResources.java,org.jfree.data.resources.DataPackageResources,class,0,0,0,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,4,0,1,0,1,0,0,0,0,34,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/editor/DefaultLogAxisEditor.java,org.jfree.chart.swing.editor.DefaultLogAxisEditor,class,6,8,2,6,13,7,0,23,0,0.2857143,0.0,0.0,7,0,6,0,1,0,7,0,0,0,2,0,0,2,0,0,0,0,5,66,1,0,1,1,0,3,1,8,0,6,1,0,0,0,69,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/time/Minute.java,org.jfree.data.time.Minute,class,4,9,5,4,38,2,0,30,0,0.74431825,0.0,0.0,22,1,22,0,0,0,22,0,0,0,8,3,2,6,0,0,3,0,10,184,19,0,9,0,5,6,30,53,17,34,3,0,0,0,180,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYAreaRenderer.java,org.jfree.chart.renderer.xy.XYAreaRenderer,class,21,23,2,21,70,5,1,77,103,0.8566433,0.0,0.0,22,0,20,2,0,0,20,0,0,0,13,6,5,8,0,0,6,0,23,325,22,0,28,0,26,2,51,84,35,59,4,0,1,0,276,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/general/ValueDataset.java,org.jfree.data.general.ValueDataset,interface,2,3,1,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java,org.jfree.chart.axis.NumberTickUnitSource,class,4,7,3,4,42,1,0,15,4,0.71666664,0.0,0.0,12,0,7,5,0,0,7,0,0,0,10,0,0,10,0,0,0,0,6,147,29,1,20,0,1,9,33,27,1,13,2,0,0,0,70,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/compass/MeterNeedle.java,org.jfree.chart.plot.compass.MeterNeedle,class,4,15,11,4,41,1,8,27,157,0.8076923,0.0,0.0,26,0,22,2,2,0,24,1,0,0,9,2,0,8,1,0,1,0,20,154,19,0,10,0,1,0,7,34,4,14,1,0,0,0,110,1025,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/dial/StandardDialRange.java,org.jfree.chart.plot.dial.StandardDialRange,class,11,12,1,11,34,2,0,17,67,0.73376614,0.0,0.0,22,0,20,2,0,0,20,0,0,0,7,1,0,6,0,1,1,0,12,149,18,0,7,0,9,6,17,34,17,17,1,0,0,0,161,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/editor/ChartEditorFactory.java,org.jfree.chart.swing.editor.ChartEditorFactory,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/urls/CustomPieURLGenerator.java,org.jfree.chart.urls.CustomPieURLGenerator,class,4,5,1,4,20,1,0,18,0,0.5625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,1,0,2,0,0,2,0,0,77,11,4,5,0,0,0,3,19,0,17,4,0,0,0,124,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/general/AbstractSeriesDataset.java,org.jfree.data.general.AbstractSeriesDataset,class,6,8,2,6,7,2,1,4,10,1.0,0.0,0.0,5,0,4,0,1,0,5,2,0,0,1,1,0,1,0,0,1,0,0,20,2,1,0,0,0,0,3,3,0,3,2,0,0,0,67,1025,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/annotations/XYShapeAnnotation.java,org.jfree.chart.annotations.XYShapeAnnotation,class,8,9,1,8,22,3,0,35,0,0.37777779,0.0,0.0,9,0,7,2,0,0,7,0,0,0,5,1,0,5,0,0,1,0,1,112,10,0,7,0,5,1,17,38,18,27,1,0,0,0,141,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/DefaultTableXYDataset.java,org.jfree.data.xy.DefaultTableXYDataset,class,11,12,1,11,69,4,0,58,164,0.71666664,0.0,0.0,36,0,34,1,1,0,35,0,0,0,5,0,0,5,0,0,0,0,1,255,31,9,7,0,5,8,19,42,9,28,4,0,0,0,228,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/dial/DialPointer.java,org.jfree.chart.plot.dial.DialPointer$Pointer,innerclass,10,10,0,10,18,3,0,29,0,0.5769231,0.0,0.0,13,0,11,2,0,0,11,0,0,0,4,1,0,3,0,1,1,0,13,111,10,0,2,0,1,2,9,28,2,20,1,0,0,0,118,9,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/RangeInfo.java,org.jfree.data.RangeInfo,interface,1,3,2,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer.java,org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,class,20,21,1,20,69,3,0,75,163,0.8086957,0.0,0.0,23,0,16,2,5,0,21,0,0,0,5,1,0,5,0,0,1,0,1,333,16,3,16,0,12,1,46,105,87,82,2,0,0,0,266,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/text/TextFragment.java,org.jfree.chart.text.TextFragment,class,4,7,3,4,28,1,0,26,0,0.6952381,0.0,0.0,15,0,13,2,0,0,13,0,0,0,7,3,2,5,0,0,3,0,2,105,14,0,5,0,3,5,12,22,10,15,2,0,0,0,127,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/StandardCrosshairLabelGenerator.java,org.jfree.chart.labels.StandardCrosshairLabelGenerator,class,4,6,2,4,11,1,0,8,0,0.35714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,2,0,4,44,9,0,1,0,1,3,0,5,0,5,1,0,0,0,53,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/pie/PiePlotState.java,org.jfree.chart.plot.pie.PiePlotState,class,2,4,2,2,21,2,0,0,182,0.8952381,0.0,0.0,21,0,21,0,0,0,21,0,0,0,10,0,0,10,0,0,0,0,0,77,10,0,0,0,0,0,2,12,0,10,0,0,0,0,78,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/BarPainter.java,org.jfree.chart.renderer.category.BarPainter,interface,2,9,7,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/AxisCollection.java,org.jfree.chart.axis.AxisCollection,class,3,5,2,3,10,1,0,2,0,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,4,0,2,44,4,0,0,0,0,2,0,4,0,4,1,0,0,0,65,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/compass/PinNeedle.java,org.jfree.chart.plot.compass.PinNeedle,class,2,4,2,2,10,2,0,17,6,1.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,1,0,1,0,0,1,0,0,45,6,0,3,0,8,0,8,10,12,8,1,0,0,0,80,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/util/AttrStringUtils.java,org.jfree.chart.util.AttrStringUtils,class,4,8,4,4,32,1,0,27,120,0.0,0.0,0.0,16,15,5,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,25,132,11,0,1,0,2,3,28,45,20,25,1,0,0,0,94,1,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/ItemLabelPosition.java,org.jfree.chart.labels.ItemLabelPosition,class,4,6,2,4,15,1,0,5,0,0.6,0.0,0.0,9,0,9,0,0,0,9,0,0,0,5,1,0,5,0,0,5,0,8,64,12,0,2,0,3,3,9,11,9,7,1,0,0,0,72,1,0
